Rank	Hole Cards	Overall	WinHi %	TieHi %	WinLo %	TieLo %	Occur %	Cumul %
144	A- Qx 3x 2x	22.6982	7.2295	1.8365	24.3312	19.775	0.0044	0.8118
145	Ax A- 5- 3x	22.6706	15.373	0.9822	19.1963	10.2263	0.0088	0.8207
146	Ax Ky 5y 2x	22.6678	13.7022	2.1167	18.0092	14.8028	0.0044	0.8251
147	Ax Tx 3x 2x	22.6369	7.0795	1.7324	24.3547	19.9072	0.0014	0.8266
148	Ax A- T- 2x	22.6186	15.5981	0.7912	18.2398	9.6483	0.0088	0.8355
149	Ax A- K- 2x	22.607	15.4677	0.8485	18.2449	9.6562	0.0088	0.8443
150	Ax A- Q- 2x	22.6048	15.5306	0.8286	18.2064	9.6458	0.0088	0.8532
151	Ax 5x 4- 2-	22.6046	9.5569	2.0953	23.1674	18.3901	0.0088	0.862
152	Ax 5- 4x 2-	22.6028	9.5945	2.087	23.0845	18.4539	0.0088	0.8709
153	Ax Ky 5x 2y	22.5956	13.6352	2.1413	17.9482	14.8006	0.0044	0.8754
154	Ax Qx Qy 2y	22.5843	16.6948	0.8665	13.9156	12.1066	0.0044	0.8798
155	Ax A- J- 2x	22.5699	15.5354	0.8183	18.1378	9.7097	0.0088	0.8886
156	Ax 5- 4- 2x	22.5507	9.5185	2.0779	23.0759	18.4786	0.0088	0.8975
157	Ax A- Kx 2-	22.49	15.5532	0.8419	18.2618	9.6684	0.0088	0.9064
158	Ax 4x 2- 2-	22.479	9.7049	0.5542	25.4166	13.4146	0.0044	0.9108
159	Ax 4- 2x 2-	22.4672	9.7371	0.5718	25.233	13.4557	0.0088	0.9196
160	Ax K- 4x 2-	22.4424	10.1063	2.0884	20.9744	17.1089	0.0088	0.9285
161	Ax K- 4- 2x	22.4228	10.0012	2.0968	21.0334	17.2088	0.0088	0.9374
162	Ax Qx 4y 2y	22.4117	10.4573	1.977	20.92	17.1278	0.0044	0.9418
163	Ax A- 6- 2x	22.4095	14.6318	0.3529	19.6203	10.3602	0.0088	0.9507
164	A- Jx 3x 2-	22.4086	6.8129	1.8073	24.3132	19.8054	0.0088	0.9595
165	Ax A- Tx 2-	22.4077	15.5468	0.8084	18.1745	9.7819	0.0088	0.9684
166	A- Jx 3- 2x	22.4049	6.8143	1.8079	24.3246	19.8171	0.0088	0.9773
167	Ax A- Qx 2-	22.398	15.517	0.8114	18.1457	9.6957	0.0088	0.9861
168	Ax Jx 4y 2y	22.3924	10.4044	1.9746	20.9908	17.1052	0.0044	0.9906
169	Ax A- Jx 2-	22.3919	15.5471	0.8191	18.1394	9.6902	0.0088	0.9994
170	Ax A- 6x 2-	22.3794	14.6402	0.3493	19.6119	10.3147	0.0088	1.0083
171	A- Jx 3x 2x	22.3151	6.6385	1.7793	24.409	19.7597	0.0044	1.0127
172	Ax 9- 3x 2x	22.3121	7.4207	0.9285	24.3789	19.7318	0.0044	1.0172
173	Ax Ay 7x 3y	22.2678	19.2352	0.4765	14.2902	7.8741	0.0044	1.0216
174	Ax Kx 4- 2-	22.2481	10.0322	2.0951	20.9713	17.1708	0.0088	1.0304
175	Ax Tx 4y 2y	22.2474	10.1882	1.9242	21.0181	17.1876	0.0044	1.0349
176	Ax Q- 4x 2-	22.2472	9.8387	2.0299	21.0219	17.2133	0.0088	1.0438
177	Ax Ay 9x 3y	22.2447	19.1331	0.2484	14.8534	8.212	0.0044	1.0482
178	Ax A- 3x 3-	22.2265	17.1011	0.148	18.1217	6.2477	0.0088	1.057
179	Ax Q- 4- 2x	22.2072	9.8228	2.0041	20.9628	17.17	0.0088	1.0659
180	Ax 7y 3y 2x	22.2021	9.3275	1.0912	22.7215	18.5251	0.0044	1.0703
181	Ax 7x 3y 2y	22.1771	9.307	1.0964	22.8068	18.4185	0.0044	1.0748
182	Ax 8y 3y 2x	22.1598	9.4467	0.9207	22.5829	18.3636	0.0044	1.0792
183	Ax 6x 3- 2x	22.1521	7.6903	1.2819	24.2171	19.5313	0.0044	1.0836
184	Ax 9x 3x 2-	22.1501	7.4675	0.9394	24.2458	19.8053	0.0044	1.0881
185	Ax 7y 3x 2y	22.146	9.3215	1.0714	22.611	18.5375	0.0044	1.0925
186	Ax 8y 3x 2y	22.1392	9.4559	0.9189	22.5722	18.3179	0.0044	1.0969
187	Ax Ky 4y 3x	22.1364	13.702	2.3414	17.1883	14.2749	0.0044	1.1014
188	Ax 6x 3x 2-	22.1306	7.7109	1.3195	24.1746	19.537	0.0044	1.1058
189	Ax 9x 3- 2x	22.1291	7.4198	0.9473	24.2645	19.7734	0.0044	1.1102
190	Ax Ky 4x 3y	22.1134	13.6786	2.3732	17.1051	14.3331	0.0044	1.1146
191	Ax 6- 3x 2x	22.0938	7.5803	1.2942	24.2872	19.4794	0.0044	1.1191
192	Ax K- K- 2x	22.0722	15.2873	0.8592	13.8814	12.1715	0.0044	1.1235
193	Ax J- 4x 2-	22.0716	9.6187	1.9632	20.9903	17.2219	0.0088	1.1324
194	A- 5x 3x 2x	22.043	5.48	1.6642	26.4002	21.0027	0.0044	1.1368
195	A- 5x 3x 2-	22.0426	5.4113	1.7641	26.5	21.0137	0.0088	1.1457
196	A- 5x 3- 2x	22.0337	5.405	1.7263	26.4913	20.9807	0.0088	1.1545
197	A- 5- 3x 2x	22.0284	5.3658	1.7331	26.5548	20.998	0.0088	1.1634
198	Ax Qx 4- 2-	22.0257	9.7832	2.0258	20.9851	17.228	0.0088	1.1723
199	Ax J- 4- 2x	22.0107	9.6225	1.9941	20.8675	17.1688	0.0088	1.1811
200	Ax Kx K- 2-	22.0029	15.4038	0.8763	13.8923	12.1564	0.0088	1.19
201	Ax A- 5x 3x	21.9722	14.2657	0.9574	19.2081	10.2107	0.0044	1.1944
202	A- Tx 3x 2-	21.9719	6.2325	1.744	24.3194	19.6865	0.0088	1.2033
203	A- K- 3x 2x	21.9697	6.0112	1.9244	24.3051	19.8306	0.0088	1.2122
204	A- Tx 3- 2x	21.9676	6.224	1.7463	24.29	19.8569	0.0088	1.2211
205	A- Tx 3x 2x	21.9597	6.1735	1.7511	24.3953	19.7463	0.0044	1.2255
206	Ax T- 4- 2x	21.9573	9.4684	1.9596	21.0693	17.122	0.0088	1.2344
207	Ax 5x 4x 2-	21.9542	8.4678	2.0831	23.1774	18.4905	0.0044	1.2388
208	Ax Ay 6x 4y	21.9374	19.7369	1.0388	13.2451	7.2954	0.0044	1.2432
209	Ax Qy 5x 2y	21.912	12.4663	2.0934	18.0649	14.879	0.0044	1.2477
210	Ax T- 4x 2-	21.9077	9.4834	1.9627	20.8887	17.1768	0.0088	1.2565
211	Ax Jx 4- 2-	21.8924	9.6513	1.9703	20.9615	17.1411	0.0088	1.2654
212	Ax Qy 5y 2x	21.8786	12.4887	2.0995	18.022	14.7931	0.0044	1.2698
213	Ax 8x 3y 2y	21.868	9.189	0.9324	22.3973	18.4054	0.0044	1.2743
